@relation 'AT: dr-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Standardize_principal components_clustered-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,7,6'

@attribute Instance_number numeric
@attribute -0.393MA_Detection_4-0.391MA_Detection_3-0.391MA_Detection_5-0.385MA_Detection_2-0.38MA_Detection_1... numeric
@attribute -0.42MA_Detection_Exudates_4-0.395MA_Detection_Exudates_6-0.387MA_Detection_Exudates_5-0.377MA_Detection_Exudates_7-0.336MA_Detection_Exudates_8... numeric
@attribute 0.454MA_Detection_Exudates_2+0.419MA_Detection_Exudates_3+0.415MA_Detection_Exudates_1-0.321MA_Detection_Exudates_7-0.316MA_Detection_Exudates_8... numeric
@attribute 0.709Diameter_of_Optic_Disc-0.593Distance_to_macula-0.335results_of_prescreening-0.11quality_of_assessment-0.094AM_FM_classification... numeric
@attribute Cluster {cluster0,cluster1}
@attribute Class {0,1}

@data
854,-3.696756,0.475935,0.818649,-0.818291,cluster0,1
855,3.576728,0.409342,-0.533209,0.357318,cluster0,1
856,0.941598,0.924974,-0.746002,0.443415,cluster0,1
857,1.020181,-4.017413,-2.840544,0.355942,cluster0,1
858,1.800713,0.11426,0.235165,2.149716,cluster0,1
859,-3.412023,-0.314629,1.790994,-0.191585,cluster0,1
860,2.391099,1.274781,-1.388148,0.719704,cluster0,1
861,-1.625927,0.77573,-0.057623,0.379795,cluster1,0
862,1.841866,-0.53127,1.638831,-1.644263,cluster1,0
863,1.881563,0.299689,-0.286765,3.028915,cluster0,1
864,-0.505631,1.279913,-1.079389,0.670434,cluster0,1
865,-2.264252,-1.437181,-1.945087,0.294728,cluster0,1
866,3.767887,-0.25445,0.860389,0.110047,cluster1,0
867,2.984074,0.570223,-0.559507,0.812688,cluster1,0
868,1.211492,-2.737926,4.527868,-0.147134,cluster0,1
869,-2.37697,1.114221,-0.319301,-0.598168,cluster0,1
870,1.333084,-1.0152,2.2306,-1.541109,cluster1,0
871,0.607459,-2.611235,-3.791717,0.406537,cluster0,1
872,-3.021406,0.840779,-0.437622,3.509558,cluster1,0
873,3.580353,-0.057054,0.368909,-0.87372,cluster1,0
874,1.968689,-0.199711,0.438327,0.987967,cluster1,0
875,-0.448488,1.307355,-1.179633,1.759579,cluster1,0
876,1.452476,0.448372,-0.079043,-0.595396,cluster1,0
877,2.892164,0.633168,-0.66546,1.708684,cluster0,1
878,1.165196,-0.770047,1.834572,-0.179334,cluster0,1
879,1.408303,-0.56516,1.294142,0.454962,cluster0,1
880,-4.479885,0.719015,0.256495,-0.904762,cluster0,1
881,-2.657206,0.8671,0.008923,0.320044,cluster0,1
882,2.184544,1.144406,-1.322044,0.808197,cluster1,0
883,-3.222457,1.289982,-0.26579,-0.656876,cluster1,0
884,-1.618216,1.230739,-0.569336,-0.816089,cluster0,1
885,-1.318129,0.931255,-0.424267,0.057583,cluster1,0
886,3.06684,0.848408,-0.864479,0.013071,cluster0,1
887,3.078694,0.723597,-0.916094,1.376041,cluster0,1
888,-0.958282,0.085141,1.095822,-0.126893,cluster0,1
889,1.968045,1.221009,-1.011312,-1.851743,cluster0,1
890,-1.860604,0.762021,-0.026436,-0.707792,cluster1,0
891,2.608967,0.613237,-0.533979,1.436676,cluster1,0
892,2.463254,0.848395,-1.179899,1.001424,cluster0,1
893,-1.88833,-0.283286,0.409132,0.051233,cluster0,1
894,0.442082,1.331711,-1.295886,-0.158678,cluster0,1
895,0.589575,-2.630836,3.365212,-0.640924,cluster0,1
896,3.146391,0.544358,-0.456907,-0.762254,cluster0,1
897,1.778449,0.764771,-0.63373,-0.954525,cluster0,1
898,3.054312,-2.01432,2.900679,-0.197797,cluster0,1
899,-0.103997,1.126709,-0.6484,-0.151672,cluster0,1
900,0.444653,1.551286,-2.13737,0.60488,cluster1,0
901,1.06892,0.660873,-0.64716,0.084336,cluster0,1
902,-2.111898,1.293129,-0.708756,0.497139,cluster0,1
903,3.379564,-0.005221,0.06553,0.063416,cluster1,0
904,3.655785,-0.162605,0.355674,3.376311,cluster1,0
905,-0.381805,1.184585,-0.795362,0.266009,cluster0,1
906,-2.993349,1.065178,-0.286559,0.713824,cluster0,1
907,2.83802,1.096416,-1.005933,-1.546029,cluster0,1
908,-4.63288,0.192162,1.356141,2.249365,cluster1,0
909,2.228376,0.975695,-0.763995,-2.470048,cluster1,0
910,2.826043,-0.158769,0.498243,-0.621573,cluster0,1
911,-0.319642,0.69594,-0.499979,0.456732,cluster1,0
912,0.868164,0.453857,-0.211214,-1.564116,cluster0,1
913,-3.536578,0.739817,0.330503,-1.472258,cluster0,1
914,-4.671544,-0.077006,1.686029,-0.363737,cluster0,1
915,2.764645,-2.750214,3.819245,0.15013,cluster1,0
916,2.617461,-1.188261,0.507784,1.139132,cluster0,1
917,2.022112,1.00645,-0.858023,-1.681939,cluster1,0
918,-4.112802,0.906917,0.3716,-0.951242,cluster0,1
919,-1.236481,1.025948,-0.587006,1.194462,cluster1,0
920,-1.802907,1.17224,-0.54249,0.759378,cluster1,0
921,1.585961,1.244421,-1.224652,0.330884,cluster0,1
922,-1.060415,-1.270835,0.204506,-0.891436,cluster1,0
923,1.482054,0.566375,-0.233069,-0.44875,cluster1,0
924,0.60843,1.518687,-1.325556,-0.593599,cluster1,0
925,-1.29393,0.629092,-1.002798,1.032318,cluster1,0
926,-2.404661,1.212154,-0.354259,-0.117574,cluster0,1
927,2.734042,0.003557,0.483534,-0.188926,cluster0,1
928,3.111649,0.34164,-0.196653,0.25379,cluster1,0
929,2.487185,0.417758,-0.268289,0.173566,cluster0,1
930,1.728889,-2.53791,2.133126,0.068367,cluster0,1
931,2.258407,0.211646,-0.060411,0.151755,cluster1,0
932,-1.156487,1.160177,-0.799463,0.189608,cluster0,1
933,1.985532,1.238194,-1.205838,0.39816,cluster0,1
934,-5.7721,1.052028,0.299954,0.162898,cluster1,0
935,3.441988,1.251819,-1.581848,0.615644,cluster1,0
936,-2.522131,1.175974,-0.461957,1.058729,cluster1,0
937,2.148364,0.89314,-0.951348,0.631817,cluster0,1
938,-1.568354,1.186234,-0.633308,1.101034,cluster0,1
939,3.353123,0.194496,0.120948,1.53377,cluster1,0
940,2.456369,1.54169,-1.897678,0.4385,cluster0,1
941,-3.181558,0.854452,0.261765,-1.31586,cluster0,1
942,-2.73196,0.542992,0.537666,-0.072942,cluster0,1
943,-1.554952,0.591493,0.134117,1.571938,cluster0,1
944,-3.116152,0.792132,0.433238,-0.30953,cluster1,0
945,-4.665912,0.812627,0.49934,-1.22973,cluster0,1
946,-3.685174,0.027904,1.381542,0.445058,cluster0,1
947,0.88616,1.433949,-1.594491,1.376138,cluster1,0
948,-2.164838,0.661829,0.201935,-0.676598,cluster1,0
949,1.628382,-0.920842,0.985983,0.738224,cluster1,0
950,0.334783,-0.387879,1.130969,0.712083,cluster0,1
951,2.197826,0.88601,-0.713137,-0.810954,cluster1,0
952,-3.1433,0.392631,0.410562,1.381508,cluster0,1
953,1.665586,-0.536399,0.963381,0.67365,cluster1,0
954,-0.283596,1.039329,-0.744517,1.090971,cluster1,0
955,-5.149699,-1.956004,-0.013994,1.047345,cluster0,1
956,0.907306,0.895531,-0.954359,1.025452,cluster0,1
957,-2.295848,0.37651,0.27857,1.723763,cluster1,0
958,-0.943106,1.302353,-0.847437,-0.658031,cluster0,1
959,-1.435805,0.680794,0.058813,0.563295,cluster1,0
960,1.65172,0.794918,-0.801456,-0.941524,cluster1,0
961,-2.485193,0.564225,0.596244,-1.235653,cluster0,1
962,2.432567,-0.390703,1.066595,0.236922,cluster1,0
963,-3.448729,-1.448672,2.610836,1.248585,cluster0,1
964,-1.731539,1.084,-0.579644,0.554895,cluster0,1
965,4.092203,0.134817,-0.003891,1.763451,cluster1,0
966,1.881499,0.470228,-0.256952,0.495276,cluster1,0
967,-2.523163,1.167486,-0.259368,-1.152148,cluster0,1
968,3.299857,-0.490871,1.142285,0.068622,cluster1,0
969,2.14633,-0.382632,1.228328,0.257218,cluster0,1
970,-4.389447,0.66062,0.704171,-1.477292,cluster0,1
971,2.571508,0.386654,0.081788,-1.253251,cluster1,0
972,2.865988,1.413886,-1.641737,-0.509123,cluster1,0
973,1.652132,-1.506012,1.76582,-0.812831,cluster1,0
974,-0.027153,1.197761,-1.03375,1.879679,cluster0,1
975,1.231357,-6.683953,7.885222,-0.12522,cluster0,1
976,2.738417,-0.456475,0.863783,-0.146737,cluster0,1
977,-0.609882,-15.960673,-3.776084,-0.505677,cluster0,1
978,-1.852468,-6.346575,-1.278361,1.486524,cluster0,1
979,-5.003106,0.653886,0.677398,-0.409866,cluster0,1
980,0.603275,0.794781,-0.736024,1.983295,cluster0,1
981,2.420004,-1.160187,1.76062,0.777297,cluster1,0
982,-1.508041,0.913288,-0.091141,-0.346622,cluster1,0
983,3.976517,-2.9157,3.526039,-0.409522,cluster1,0
984,-4.552624,0.884506,0.543438,-1.31364,cluster0,1
985,3.520888,-2.374264,3.265568,-1.435014,cluster0,1
986,2.665223,0.06175,-0.040259,-0.890774,cluster1,0
987,-5.042552,1.092496,0.447958,-1.730208,cluster0,1
988,3.494304,-0.359434,0.725771,0.978698,cluster1,0
989,-2.435514,0.940243,0.1953,-0.911148,cluster0,1
990,-1.865578,-2.559849,-0.861031,1.416242,cluster0,1
991,2.694596,0.928101,-0.821173,-0.431901,cluster1,0
992,-0.602965,1.082479,-0.765741,0.519551,cluster0,1
993,-1.405932,1.283892,-0.773883,-0.220009,cluster0,1
994,1.951787,1.167752,-1.284101,0.186097,cluster1,0
995,2.450299,-0.295707,0.608278,-0.670848,cluster0,1
996,2.498848,1.126663,-1.105283,-0.538339,cluster1,0
997,2.652773,0.575862,-0.254232,-0.834016,cluster0,1
998,2.46423,0.57777,-0.381376,-1.288685,cluster0,1
999,-2.417203,0.947392,-0.028152,-0.46372,cluster1,0
1000,0.447096,-0.346139,-0.774629,-0.49545,cluster0,1
1001,-4.205672,-0.067399,1.608986,-0.329628,cluster0,1
1002,3.779643,-1.458454,2.356738,-0.726961,cluster1,0
1003,3.216642,0.286158,-0.408065,2.077983,cluster1,0
1004,4.811211,-3.070607,4.570099,0.921718,cluster0,1
1005,2.059374,0.401995,-0.444375,2.532944,cluster0,1
1006,0.996313,-3.826161,-1.183304,-0.781186,cluster0,1
1007,0.081595,0.851742,-0.563416,0.731745,cluster1,0
1008,-5.530536,-7.531567,-5.220893,-0.911368,cluster0,1
1009,-0.79528,0.305908,0.509636,1.99281,cluster1,0
1010,-1.158603,-3.922567,-3.004575,-0.305321,cluster0,1
1011,0.827687,0.576365,-0.157063,0.460151,cluster0,1
1012,-1.008942,1.096319,-0.491445,0.211932,cluster1,0
1013,-5.264888,-1.302798,-0.823102,-0.226142,cluster0,1
1014,-2.675745,0.011613,0.895792,0.448239,cluster1,0
1015,-3.437103,0.784718,0.366078,0.072669,cluster0,1
1016,3.24651,1.025372,-0.927557,-1.675629,cluster1,0
1017,-3.443935,0.229164,0.300262,1.485453,cluster1,0
1018,-2.686881,0.546275,0.434586,-0.788432,cluster1,0
1019,-1.318303,0.256148,0.688152,-0.709462,cluster1,0
1020,2.432105,0.994001,-1.075105,0.83284,cluster1,0
1021,2.268985,0.823032,-0.809749,0.321555,cluster1,0
1022,2.471522,0.997538,-0.996526,-0.863705,cluster1,0
1023,-1.145842,1.072745,-0.731353,1.123875,cluster0,1
1024,-1.13438,-0.504378,1.03749,-0.618419,cluster0,1
1025,-1.773192,-0.978197,0.290736,0.424307,cluster1,0
1026,3.170169,0.704425,-0.897367,0.994921,cluster1,0
1027,-5.230074,0.744257,0.839997,-1.814755,cluster0,1
1028,2.00478,1.184469,-1.25506,0.293454,cluster1,0
1029,-4.144563,0.389771,0.902406,0.185128,cluster1,0
1030,-5.157602,0.623573,0.46419,-0.105139,cluster0,1
1031,2.771253,1.513562,-1.919446,2.279849,cluster1,0
1032,-2.063769,0.904364,-0.04707,-0.779246,cluster0,1
1033,2.993588,0.09472,0.460829,-1.923024,cluster0,1
1034,-1.526284,0.29467,0.045847,0.62303,cluster0,1
1035,0.624577,-0.621387,1.199782,0.392472,cluster0,1
1036,-3.553795,0.972786,0.140446,-0.240228,cluster1,0
1037,1.017094,-27.791147,-11.640863,-1.17629,cluster0,1
1038,-2.999373,0.852567,0.039322,0.489871,cluster1,0
1039,1.851995,1.014475,-1.018775,-0.362331,cluster1,0
1040,0.599742,0.880491,-0.187773,-1.478477,cluster1,0
1041,-2.498877,1.253579,-0.566628,1.320647,cluster0,1
1042,-1.486018,0.757799,-0.151602,-0.082404,cluster1,0
1043,0.40913,0.538932,0.072972,-0.029056,cluster0,1
1044,1.834209,1.141747,-0.883363,-2.016426,cluster1,0
1045,2.089073,-0.706055,1.275238,-0.344404,cluster1,0
1046,0.619036,0.280368,0.257954,0.678079,cluster1,0
1047,2.012928,-0.568751,1.053868,1.558243,cluster1,0
1048,0.878063,-1.599222,-0.287425,-2.39281,cluster0,1
1049,-2.000255,-0.036568,0.633243,0.353172,cluster1,0
1050,-0.915012,1.106376,-0.670002,0.603035,cluster1,0
1051,-1.132799,0.809741,-0.802052,1.897219,cluster0,1
1052,1.716946,-3.297741,4.125704,-0.735636,cluster1,0
1053,-1.088513,-0.644682,-0.831586,-1.7216,cluster0,1
1054,3.766104,-4.543589,5.277257,1.051777,cluster1,0
1055,-1.594995,-16.162178,-5.52483,-0.983089,cluster0,1
1056,-0.509547,-1.418917,0.698727,0.517369,cluster1,0
1057,2.322337,0.044652,0.232063,0.146661,cluster1,0
1058,2.368692,1.33604,-1.775941,1.396901,cluster0,1
1059,2.562838,0.758196,-0.783341,1.735017,cluster0,1
1060,0.025454,1.220896,-1.094801,0.348677,cluster0,1
1061,0.943888,-0.451391,1.127307,0.140101,cluster0,1
1062,-0.679446,-2.387556,-0.326864,-0.657292,cluster0,1
1063,1.575428,-1.054376,1.884378,0.872064,cluster1,0
1064,1.161618,0.484233,0.142425,-2.387106,cluster1,0
1065,-0.951211,0.383139,0.481339,-0.579368,cluster1,0
1066,-1.304256,-30.779552,-8.085173,1.385929,cluster0,1
1067,-2.115412,-1.742332,1.596852,2.013777,cluster0,1
1068,-0.26034,1.203865,-0.896747,1.061116,cluster1,0
1069,2.215822,-0.400638,0.987007,0.362725,cluster1,0
1070,1.955943,0.932692,-0.799878,-0.009701,cluster1,0
1071,3.600432,-1.103782,1.447711,0.583425,cluster0,1
1072,2.708017,-0.513369,1.385699,0.67635,cluster0,1
1073,2.944603,0.328803,-0.258486,0.363338,cluster1,0
1074,1.804417,1.169134,-1.1158,-1.18471,cluster0,1
1075,-0.668638,0.295554,-1.462951,-0.218824,cluster0,1
1076,0.965463,-0.138211,1.196091,1.064396,cluster0,1
1077,-7.012643,0.579072,1.31017,-2.322568,cluster0,1
1078,-1.565561,-1.056529,1.781842,0.260698,cluster1,0
1079,1.632835,-1.012768,1.404573,1.208663,cluster0,1
1080,-3.055526,-7.370354,-0.360193,0.587801,cluster0,1
1081,3.529129,-0.154169,0.355104,0.930046,cluster1,0
1082,2.072111,0.48831,-0.132763,-0.478315,cluster1,0
1083,2.346118,0.899011,-0.721484,-1.484806,cluster1,0
1084,2.111152,0.413787,-1.689917,2.587536,cluster0,1
1085,2.267851,-0.643057,1.31058,-0.628287,cluster1,0
1086,3.044686,-4.565859,5.509091,-0.065813,cluster0,1
1087,0.209906,1.145407,-0.965833,3.216853,cluster1,0
1088,2.006118,1.420469,-1.45857,-1.257032,cluster1,0
1089,-0.897324,0.88618,-0.283114,0.801392,cluster1,0
1090,-1.422582,0.982708,-0.27223,0.998872,cluster1,0
1091,2.683482,1.216064,-1.318933,0.554142,cluster1,0
1092,-2.093299,-1.057413,2.591061,-0.930631,cluster1,0
1093,1.587768,-1.338855,1.914836,0.351537,cluster0,1
1094,-0.001641,1.427189,-1.379296,1.686409,cluster1,0
1095,0.52947,-0.664874,1.210985,0.713758,cluster1,0
1096,-3.456452,1.163743,0.028607,-0.238095,cluster1,0
1097,-3.367909,0.935331,0.060112,0.544244,cluster0,1
1098,-1.909912,-0.047519,0.147718,2.117357,cluster1,0
1099,3.327669,-0.901547,1.644897,-1.375413,cluster1,0
1100,-1.706338,0.965864,-0.292549,0.961695,cluster0,1
1101,2.423233,0.813811,-1.044429,0.51622,cluster1,0
1102,1.230765,1.436067,-1.414198,0.577543,cluster1,0
1103,4.243295,-1.635215,2.218594,-0.040729,cluster1,0
1104,2.502598,-0.398256,0.563576,-0.156962,cluster1,0
1105,-1.257784,1.010632,-0.536897,-0.659197,cluster1,0
1106,-2.464987,1.007028,-0.170895,-1.274134,cluster0,1
1107,3.133054,0.417631,-0.253583,-1.416016,cluster0,1
1108,-2.339365,1.06637,-0.14201,-1.413447,cluster0,1
1109,-0.517737,0.916277,-0.513103,-1.015088,cluster0,1
1110,-2.506846,1.04135,-0.358548,0.602942,cluster0,1
1111,-0.009193,-0.003692,0.12039,1.369981,cluster1,0
1112,-0.906768,-5.033424,4.601758,-1.262265,cluster0,1
1113,-2.254598,1.209827,-0.595391,0.555955,cluster0,1
1114,-1.622667,-5.495186,-0.902395,-1.392007,cluster0,1
1115,-5.070092,-0.327062,0.090248,-0.132587,cluster0,1
1116,-2.412972,0.394482,0.870452,-0.471867,cluster1,0
1117,0.491771,1.207878,-0.979291,-0.298707,cluster1,0
1118,2.431231,1.359476,-1.34511,-1.552922,cluster1,0
1119,2.495814,-0.916698,1.254087,2.217393,cluster0,1
1120,3.3071,-0.482965,0.962497,0.64013,cluster1,0
1121,-4.241019,0.863445,0.345671,0.062049,cluster0,1
1122,1.569282,-1.266281,2.306698,-0.162555,cluster1,0
1123,3.251761,0.889999,-1.174483,0.80001,cluster1,0
1124,1.242509,-0.082596,0.482723,1.983202,cluster0,1
1125,2.240627,1.062301,-0.980751,-0.149125,cluster1,0
1126,3.501822,0.280646,-0.114906,-0.014664,cluster1,0
1127,2.074695,0.568946,-1.017461,-0.065618,cluster0,1
1128,1.272518,0.971286,-0.963813,-0.74672,cluster0,1
1129,0.305232,0.005371,0.272219,-0.181961,cluster0,1
1130,0.378659,1.084781,-0.826279,-0.928334,cluster0,1
1131,-1.507876,0.759303,0.01069,-0.520042,cluster0,1
1132,-5.660807,0.883391,0.711893,-0.838638,cluster0,1
1133,-2.421758,1.193247,-0.430936,-0.581716,cluster0,1
1134,-2.322174,-11.61459,-1.504388,0.057428,cluster0,1
1135,2.783308,-1.138347,1.711722,-0.04304,cluster1,0
1136,0.062914,-0.892914,1.76159,-0.068056,cluster0,1
1137,0.024621,1.115913,-0.792512,0.530459,cluster0,1
1138,2.834011,1.323629,-1.652059,0.012584,cluster0,1
1139,2.357509,0.725125,-0.588804,-0.282628,cluster0,1
1140,0.252359,1.204867,-0.810942,-0.731829,cluster0,1
1141,-2.11238,0.713041,-0.293208,-1.781492,cluster0,1
1142,-1.995668,0.949839,-0.420379,2.271633,cluster1,0
1143,3.391891,-0.318401,1.348243,-1.733145,cluster0,1
1144,-0.59778,1.462662,-1.143208,0.167696,cluster1,0
1145,3.30634,-3.331224,3.449674,-0.162643,cluster1,0
1146,-0.487382,1.413563,-1.088049,-0.116097,cluster1,0
1147,-1.730447,0.390418,0.602854,0.748059,cluster1,0
1148,-1.643621,1.212239,-0.581333,1.189133,cluster1,0
1149,0.995534,-0.308826,-0.987921,0.378185,cluster0,1
1150,2.507548,1.184567,-1.082369,-1.571332,cluster1,0
